Date,Location,Store_ID,Product_Category,Sales_USD,Quantity,Discount_Applied
2024-01-01,Tokyo,ST-002,Apparel,3846.05,12,True
2024-01-01,Tokyo,ST-002,Electronics,2781.86,12,True
2024-01-02,Berlin,ST-003,Home & Kitchen,3990.32,32,False
2024-01-02,Tokyo,ST-001,Home & Kitchen,2249.9,36,False
2024-01-03,Tokyo,ST-004,Electronics,4976.65,42,False
2024-01-03,New York,ST-004,Electronics,1478.94,42,True
2024-01-04,Tokyo,ST-001,Electronics,2794.98,43,False
2024-01-04,Tokyo,ST-004,Home & Kitchen,3761.79,12,False
2024-01-05,Tokyo,ST-001,Electronics,296.17,27,True
2024-01-05,Tokyo,ST-003,Electronics,2395.29,9,False
2024-01-06,Berlin,ST-003,Home & Kitchen,2673.43,27,True
2024-01-06,Berlin,ST-004,Electronics,1499.23,1,False
2024-01-07,Berlin,ST-004,Apparel,3876.88,17,True
2024-01-07,Tokyo,ST-003,Electronics,1531.01,20,True
2024-01-08,Tokyo,ST-001,Groceries,311.12,21,False
2024-01-08,Tokyo,ST-003,Home & Kitchen,4485.36,39,False
2024-01-09,Tokyo,ST-003,Groceries,2634.75,4,False
2024-01-09,Berlin,ST-004,Apparel,4325.72,36,False
2024-01-10,Tokyo,ST-004,Home & Kitchen,2960.1,25,True
2024-01-10,New York,ST-003,Groceries,4394.42,9,True
2024-01-11,Berlin,ST-003,Home & Kitchen,3576.02,21,False
2024-01-11,London,ST-002,Electronics,2475.84,42,False
2024-01-12,New York,ST-002,Apparel,376.61,13,False
2024-01-12,Tokyo,ST-004,Electronics,3552.92,25,False
2024-01-13,London,ST-003,Groceries,2381.14,33,False
2024-01-13,London,ST-001,Electronics,4289.46,29,True
2024-01-14,Tokyo,ST-004,Groceries,4681.58,29,False
2024-01-14,Tokyo,ST-002,Home & Kitchen,869.82,23,False
2024-01-15,London,ST-002,Electronics,3204.06,43,True
2024-01-15,London,ST-002,Apparel,4672.65,22,True
2024-01-16,Tokyo,ST-002,Groceries,3539.71,6,False
2024-01-16,Berlin,ST-003,Home & Kitchen,374.66,9,False
2024-01-17,London,ST-002,Home & Kitchen,4748.48,1,False
2024-01-17,New York,ST-004,Apparel,1030.92,18,True
2024-01-18,New York,ST-001,Apparel,577.87,8,True
2024-01-18,Berlin,ST-004,Groceries,624.54,21,False
2024-01-19,Tokyo,ST-003,Home & Kitchen,2194.32,9,False
2024-01-19,London,ST-004,Electronics,2328.33,39,False
2024-01-20,New York,ST-001,Electronics,1944.35,45,False
2024-01-20,Tokyo,ST-002,Electronics,4758.27,13,False
2024-01-21,Tokyo,ST-001,Groceries,884.09,26,False
2024-01-21,Tokyo,ST-001,Electronics,3377.04,17,False
2024-01-22,New York,ST-002,Apparel,1738.66,7,True
2024-01-22,Berlin,ST-004,Groceries,1072.1,7,False
2024-01-23,New York,ST-003,Groceries,2357.11,19,False
2024-01-23,Tokyo,ST-004,Groceries,2869.99,14,False
2024-01-24,New York,ST-003,Groceries,1142.96,24,True
2024-01-24,New York,ST-004,Apparel,1584.98,16,False
2024-01-25,London,ST-002,Electronics,3098.77,45,False
2024-01-25,Berlin,ST-004,Home & Kitchen,1178.28,35,False
2024-01-26,London,ST-003,Electronics,2014.43,9,False
2024-01-26,New York,ST-004,Apparel,4448.8,7,False
2024-01-27,Tokyo,ST-002,Apparel,1466.01,24,False
2024-01-27,New York,ST-003,Apparel,251.81,17,False
2024-01-28,Tokyo,ST-001,Apparel,3969.4,12,False
2024-01-28,Berlin,ST-003,Apparel,812.4,35,False
2024-01-29,Berlin,ST-001,Apparel,4234.77,49,False
2024-01-29,London,ST-004,Apparel,4642.62,37,False
2024-01-30,London,ST-003,Electronics,4289.53,1,False
2024-01-30,Berlin,ST-002,Home & Kitchen,3529.31,30,False
2024-01-31,London,ST-002,Apparel,3794.78,8,False
2024-01-31,Berlin,ST-004,Home & Kitchen,4227.7,33,False
2024-02-01,Berlin,ST-001,Home & Kitchen,1417.74,1,False
2024-02-01,New York,ST-001,Home & Kitchen,2153.36,6,False
2024-02-02,London,ST-002,Home & Kitchen,2698.42,11,False
2024-02-02,New York,ST-002,Electronics,1211.85,31,False
2024-02-03,London,ST-002,Apparel,3973.49,43,False
2024-02-03,Tokyo,ST-003,Home & Kitchen,4233.97,11,True
2024-02-04,Tokyo,ST-003,Apparel,1178.93,38,False
2024-02-04,Tokyo,ST-003,Home & Kitchen,1908.84,24,False
2024-02-05,London,ST-003,Apparel,2689.71,40,False
2024-02-05,Berlin,ST-001,Electronics,757.3,9,False
2024-02-06,Tokyo,ST-004,Electronics,3643.23,2,False
2024-02-06,Tokyo,ST-002,Apparel,3171.02,30,True
2024-02-07,New York,ST-001,Home & Kitchen,1209.88,29,False
2024-02-07,Tokyo,ST-002,Apparel,2760.17,7,False
2024-02-08,Tokyo,ST-002,Electronics,3052.45,41,False
2024-02-08,London,ST-003,Home & Kitchen,1524.97,10,False
2024-02-09,Berlin,ST-003,Home & Kitchen,1378.98,28,False
2024-02-09,New York,ST-004,Apparel,314.1,15,False
2024-02-10,London,ST-001,Electronics,4146.36,14,False
2024-02-10,Berlin,ST-001,Apparel,3886.76,4,False
2024-02-11,Tokyo,ST-002,Groceries,3479.62,41,True
2024-02-11,New York,ST-003,Electronics,4758.24,44,False
2024-02-12,London,ST-003,Home & Kitchen,981.2,29,True
2024-02-12,London,ST-004,Groceries,1791.83,32,True
2024-02-13,New York,ST-003,Groceries,2210.86,3,True
2024-02-13,Berlin,ST-003,Electronics,2592.51,3,False
2024-02-14,New York,ST-004,Electronics,1074.4,46,False
2024-02-14,Berlin,ST-002,Electronics,4967.36,43,False
2024-02-15,London,ST-003,Apparel,3611.01,30,False
2024-02-15,London,ST-003,Apparel,3442.8,33,False
2024-02-16,Berlin,ST-002,Electronics,1267.9,47,False
2024-02-16,New York,ST-003,Electronics,650.16,18,False
2024-02-17,Berlin,ST-004,Electronics,680.42,21,False
2024-02-17,New York,ST-001,Apparel,113.91,7,True
2024-02-18,Berlin,ST-003,Home & Kitchen,3735.36,15,False
2024-02-18,Tokyo,ST-002,Electronics,2266.1,7,False
2024-02-19,Tokyo,ST-003,Home & Kitchen,1108.88,23,False
2024-02-19,Tokyo,ST-003,Electronics,4744.4,43,False
2024-02-20,New York,ST-002,Home & Kitchen,295.32,31,True
2024-02-20,New York,ST-004,Apparel,1679.39,20,False
2024-02-21,New York,ST-003,Apparel,3218.65,32,False
2024-02-21,London,ST-003,Electronics,4925.14,35,False
2024-02-22,Berlin,ST-003,Apparel,2799.01,27,False
2024-02-22,London,ST-004,Electronics,179.99,8,False
2024-02-23,Berlin,ST-004,Electronics,2642.2,3,True
2024-02-23,London,ST-003,Groceries,3344.86,35,False
2024-02-24,Tokyo,ST-002,Apparel,1581.91,13,False
2024-02-24,London,ST-004,Electronics,4879.07,16,False
2024-02-25,Berlin,ST-002,Groceries,4803.72,13,False
2024-02-25,Tokyo,ST-003,Apparel,3930.45,47,True
2024-02-26,London,ST-001,Home & Kitchen,975.36,21,True
2024-02-26,Berlin,ST-004,Groceries,4852.55,38,False
2024-02-27,Berlin,ST-003,Home & Kitchen,618.47,14,False
2024-02-27,Berlin,ST-001,Home & Kitchen,4332.85,1,False
2024-02-28,London,ST-004,Groceries,1423.86,8,True
2024-02-28,Tokyo,ST-004,Groceries,1489.51,45,True
2024-02-29,Berlin,ST-002,Electronics,1913.54,26,True
2024-02-29,Berlin,ST-003,Apparel,4517.92,4,False
2024-03-01,Tokyo,ST-001,Apparel,269.02,16,False
2024-03-01,New York,ST-003,Electronics,887.66,25,False
2024-03-02,London,ST-003,Home & Kitchen,918.8,13,False
2024-03-02,New York,ST-001,Electronics,2043.98,25,True
2024-03-03,Berlin,ST-004,Electronics,3363.56,19,False
2024-03-03,London,ST-003,Home & Kitchen,2432.49,23,False
2024-03-04,Berlin,ST-003,Electronics,492.11,33,True
2024-03-04,London,ST-001,Groceries,4974.64,15,True
2024-03-05,Tokyo,ST-002,Groceries,1333.9,15,False
2024-03-05,Berlin,ST-004,Apparel,992.78,25,False
2024-03-06,Tokyo,ST-004,Electronics,1550.73,31,True
2024-03-06,Berlin,ST-004,Apparel,930.45,27,False
2024-03-07,New York,ST-002,Electronics,1162.02,18,True
2024-03-07,London,ST-002,Home & Kitchen,2580.55,28,False
2024-03-08,London,ST-001,Home & Kitchen,224.87,26,False
2024-03-08,New York,ST-001,Electronics,396.08,17,False
2024-03-09,London,ST-004,Apparel,4208.72,1,False
2024-03-09,New York,ST-003,Apparel,4548.19,9,True
2024-03-10,Tokyo,ST-001,Electronics,1842.31,41,False
2024-03-10,London,ST-001,Apparel,4213.49,32,False
2024-03-11,Berlin,ST-001,Apparel,1425.6,21,True
2024-03-11,London,ST-003,Groceries,2595.05,21,True
2024-03-12,New York,ST-003,Electronics,190.67,28,True
2024-03-12,New York,ST-003,Electronics,1304.09,18,False
2024-03-13,London,ST-002,Home & Kitchen,399.97,32,False
2024-03-13,Berlin,ST-001,Home & Kitchen,3707.09,49,False
2024-03-14,Tokyo,ST-002,Groceries,2430.27,29,False
2024-03-14,Berlin,ST-003,Electronics,4304.57,5,False
2024-03-15,Tokyo,ST-001,Groceries,1914.49,29,False
2024-03-15,London,ST-002,Groceries,4298.53,6,False
2024-03-16,London,ST-002,Electronics,2017.06,11,True
2024-03-16,London,ST-004,Electronics,4301.65,30,False
2024-03-17,London,ST-004,Electronics,3794.41,17,False
2024-03-17,Berlin,ST-003,Apparel,3173.63,13,False
2024-03-18,Tokyo,ST-004,Electronics,2109.52,45,False
2024-03-18,Berlin,ST-002,Apparel,3651.94,23,True
2024-03-19,New York,ST-002,Electronics,1514.65,2,False
2024-03-19,Berlin,ST-002,Apparel,351.41,44,True
2024-03-20,New York,ST-004,Home & Kitchen,752.88,43,False
