Date,Location,Store_ID,Product_Category,Sales_USD,Quantity,Discount_Applied
2024-01-01,Berlin,ST-001,Home & Kitchen,2616.19,14,False
2024-01-01,Berlin,ST-003,Apparel,2278.72,28,True
2024-01-02,New York,ST-001,Apparel,1609.54,48,False
2024-01-02,New York,ST-002,Home & Kitchen,4058.75,6,False
2024-01-03,New York,ST-002,Home & Kitchen,3056.81,33,False
2024-01-03,Tokyo,ST-002,Groceries,2918.28,4,False
2024-01-04,New York,ST-001,Home & Kitchen,4795.58,42,True
2024-01-04,London,ST-002,Electronics,1062.01,23,True
2024-01-05,Berlin,ST-004,Apparel,2019.69,24,False
2024-01-05,Tokyo,ST-003,Groceries,3921.03,40,False
2024-01-06,London,ST-001,Electronics,2327.53,40,True
2024-01-06,New York,ST-004,Apparel,600.19,45,False
2024-01-07,New York,ST-002,Groceries,3649.51,49,False
2024-01-07,New York,ST-003,Apparel,3137.43,26,False
2024-01-08,Berlin,ST-001,Groceries,1196.95,29,True
2024-01-08,London,ST-001,Electronics,1185.07,22,False
2024-01-09,Berlin,ST-003,Home & Kitchen,1690.39,3,False
2024-01-09,London,ST-004,Groceries,4725.7,9,False
2024-01-10,Berlin,ST-001,Electronics,3163.59,20,False
2024-01-10,Tokyo,ST-003,Home & Kitchen,1352.33,21,False
2024-01-11,Berlin,ST-004,Groceries,3373.34,49,False
2024-01-11,New York,ST-002,Home & Kitchen,3786.45,39,True
2024-01-12,New York,ST-004,Home & Kitchen,1620.88,2,False
2024-01-12,Berlin,ST-004,Electronics,2515.45,10,False
2024-01-13,London,ST-004,Groceries,919.96,2,True
2024-01-13,Berlin,ST-004,Groceries,2955.71,38,False
2024-01-14,London,ST-001,Groceries,3026.92,33,False
2024-01-14,Berlin,ST-004,Home & Kitchen,383.71,22,True
2024-01-15,Tokyo,ST-003,Groceries,205.65,31,False
2024-01-15,Berlin,ST-004,Electronics,478.63,3,True
2024-01-16,Berlin,ST-002,Groceries,319.3,31,False
2024-01-16,London,ST-002,Electronics,931.69,1,False
2024-01-17,London,ST-003,Home & Kitchen,1141.74,38,True
2024-01-17,Tokyo,ST-001,Electronics,4633.74,25,True
2024-01-18,London,ST-004,Groceries,1001.35,18,True
2024-01-18,New York,ST-004,Home & Kitchen,974.77,38,True
2024-01-19,New York,ST-001,Apparel,2782.0,19,True
2024-01-19,London,ST-004,Electronics,1825.67,49,True
2024-01-20,London,ST-003,Apparel,142.79,41,True
2024-01-20,Berlin,ST-001,Groceries,3922.92,19,False
2024-01-21,London,ST-002,Groceries,3137.4,14,False
2024-01-21,New York,ST-003,Groceries,1837.03,7,False
2024-01-22,New York,ST-001,Groceries,3116.11,46,False
2024-01-22,London,ST-001,Electronics,2408.07,8,False
2024-01-23,New York,ST-004,Apparel,3589.92,12,False
2024-01-23,Berlin,ST-003,Groceries,3993.35,46,False
2024-01-24,New York,ST-003,Groceries,2730.82,20,True
2024-01-24,Berlin,ST-001,Groceries,2287.3,39,False
2024-01-25,New York,ST-002,Home & Kitchen,2503.33,2,True
2024-01-25,London,ST-001,Electronics,236.03,34,False
2024-01-26,Berlin,ST-003,Electronics,124.77,45,False
2024-01-26,New York,ST-004,Home & Kitchen,553.51,2,True
2024-01-27,New York,ST-002,Apparel,3222.25,49,False
2024-01-27,London,ST-002,Groceries,2613.61,49,False
2024-01-28,Berlin,ST-002,Groceries,1113.14,18,False
2024-01-28,Berlin,ST-001,Groceries,4032.84,16,True
